text,topic,source_type,source_credibility,article_length,contradiction_score,semantic_similarity,readability_score,sentiment,trust_score
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,3661,0.77,0.89,79.01,Positive,76.89
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,4796,0.06,0.79,94.35,Negative,100.0
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,1028,0.47,0.58,73.78,Negative,66.43
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,528,0.91,0.54,75.02,Positive,30.69
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,912,0.58,0.5,64.76,Negative,79.54
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,2167,0.89,0.72,71.63,Negative,69.76
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,3769,0.59,0.56,80.98,Positive,69.24
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,640,0.47,0.74,73.04,Neutral,76.43
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,1978,0.26,0.53,86.24,Positive,87.59
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,673,0.73,0.53,87.79,Negative,57.27
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,2042,0.65,0.75,87.36,Neutral,52.23
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,4743,0.48,0.95,99.2,Positive,75.62
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,4384,0.68,0.72,72.57,Positive,38.28
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,3520,0.22,0.81,91.01,Neutral,81.67
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,1896,0.19,0.5,67.33,Neutral,76.27
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,3218,0.44,0.92,43.55,Negative,59.17
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,4783,0.64,0.78,39.05,Positive,83.09
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,2424,0.86,0.49,75.63,Negative,62.49
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,987,0.61,0.96,70.97,Positive,37.36
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,2226,0.87,0.64,46.63,Neutral,52.88
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,655,0.39,0.85,82.24,Negative,72.52
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,531,0.18,0.4,76.74,Negative,70.8
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,3294,0.52,0.93,54.52,Negative,71.03
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,4315,0.23,0.8,39.6,Negative,42.45
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,3750,0.62,0.62,59.41,Neutral,28.89
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,2834,0.22,0.52,84.31,Negative,92.36
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4493,0.94,0.85,71.59,Positive,67.09
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,1321,0.54,0.64,89.73,Negative,48.37
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,2989,0.18,0.61,93.9,Negative,54.58
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,3873,0.76,0.71,98.86,Positive,46.35
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,1074,0.77,0.8,94.53,Neutral,74.84
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,4832,0.41,0.41,65.05,Negative,78.56
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,703,0.94,0.94,55.87,Neutral,53.73
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4687,0.63,0.95,90.79,Neutral,92.51
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,582,0.24,0.62,63.68,Neutral,46.32
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,1624,0.15,0.98,74.59,Neutral,77.93
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,2398,0.29,0.9,75.69,Positive,78.0
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,4265,0.35,0.52,63.22,Neutral,79.5
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,1372,0.19,0.49,66.23,Negative,88.24
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,288,0.52,0.67,72.79,Neutral,37.55
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,2178,0.93,0.91,61.58,Negative,30.09
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,1634,0.99,0.48,50.69,Positive,39.48
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,232,0.28,0.65,82.67,Positive,58.0
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,3442,0.64,0.8,71.09,Positive,35.48
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,3995,0.45,0.5,94.46,Neutral,67.72
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,156,0.35,0.65,81.76,Positive,50.8
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,3269,0.42,0.99,87.96,Positive,79.62
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,1822,0.75,0.85,87.33,Positive,46.68
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,4208,0.88,0.99,96.44,Negative,46.2
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,1374,0.65,0.53,57.65,Neutral,57.38
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,4471,0.66,0.89,43.25,Neutral,53.93
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,553,0.68,0.87,79.81,Positive,79.85
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,168,0.59,0.51,68.97,Neutral,55.39
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,3325,0.74,0.49,91.47,Positive,73.56
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,3659,0.74,0.5,60.42,Positive,76.0
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3388,0.96,0.78,30.05,Neutral,72.51
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,4976,0.35,0.58,81.07,Neutral,82.65
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,1705,0.88,0.62,96.2,Positive,78.74
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,News Article,6,916,0.52,0.58,88.8,Positive,68.06
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,4516,0.28,0.43,54.87,Negative,72.04
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,1808,0.5,0.64,35.72,Positive,31.79
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,2110,0.76,0.98,51.83,Negative,70.96
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,208,0.45,0.83,37.68,Negative,39.83
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,3001,0.89,0.78,72.22,Negative,40.49
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,3501,0.83,0.74,97.15,Negative,65.29
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,2357,0.2,0.76,38.87,Negative,75.82
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,283,0.27,0.76,36.85,Positive,72.07
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,4388,0.94,0.73,40.14,Negative,56.98
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,531,0.89,0.91,53.66,Neutral,66.94
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,3882,0.91,0.41,55.21,Positive,43.58
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,2210,0.34,0.48,70.31,Positive,75.51
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,3601,0.36,0.51,78.86,Positive,71.86
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,1653,0.74,0.79,72.86,Positive,46.8
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,4100,0.43,0.89,71.06,Neutral,46.37
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,2752,0.28,0.57,49.55,Positive,67.42
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,2593,0.41,0.76,96.66,Positive,80.15
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3842,0.81,0.43,77.38,Positive,76.58
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,1114,0.35,0.62,31.73,Negative,37.87
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,2226,0.29,0.91,68.26,Neutral,56.79
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,1528,0.05,0.51,73.62,Positive,71.44
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,2689,0.68,0.76,74.93,Negative,47.4
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,4377,0.97,0.75,30.3,Positive,70.77
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,4492,0.68,0.41,81.55,Negative,68.9
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,249,0.48,0.44,96.09,Neutral,91.97
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,1484,0.56,0.94,84.24,Negative,43.22
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,4198,0.45,0.45,86.95,Negative,72.75
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,1395,0.24,0.91,68.72,Neutral,60.09
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,4601,0.47,0.72,96.86,Neutral,46.7
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,1306,0.26,0.97,53.87,Negative,90.45
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,3597,0.77,0.66,88.31,Positive,40.52
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,1250,0.93,0.48,63.85,Neutral,49.14
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,2684,0.89,0.91,65.14,Negative,60.17
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,216,0.81,0.99,97.26,Negative,69.64
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,969,0.67,0.56,92.74,Negative,65.29
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,699,0.01,0.93,94.12,Negative,60.16
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,738,0.93,0.83,61.85,Neutral,59.48
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,2731,0.97,0.47,82.59,Neutral,67.04
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,1707,0.21,0.4,48.61,Neutral,81.44
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,783,0.14,0.94,64.46,Neutral,79.76
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,497,0.51,0.51,78.32,Positive,39.8
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,567,0.32,0.91,66.43,Neutral,56.45
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,4417,0.17,0.81,47.84,Negative,84.92
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,2440,0.67,0.44,77.3,Neutral,58.09
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4148,0.68,0.46,71.72,Positive,65.59
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,3278,0.4,0.47,90.92,Negative,73.59
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,3526,0.37,0.98,32.34,Positive,45.01
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,3864,0.72,0.77,93.1,Positive,92.39
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,3301,0.4,0.48,62.11,Positive,57.62
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,3807,0.94,0.48,55.26,Neutral,59.81
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,3437,0.36,0.5,40.5,Negative,56.48
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,2613,0.98,0.8,43.71,Negative,19.9
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,4497,0.2,0.57,45.96,Negative,60.73
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,3916,0.94,0.86,49.43,Neutral,52.48
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,2354,0.05,0.94,44.82,Negative,87.5
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,502,0.92,0.67,34.64,Neutral,25.87
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4316,0.69,0.99,83.58,Negative,70.16
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,328,0.73,0.79,63.19,Negative,53.53
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,1040,0.27,0.95,37.41,Positive,48.19
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,4625,0.03,0.74,40.9,Negative,45.84
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,867,0.89,0.43,33.55,Positive,39.89
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,1043,0.75,0.87,70.7,Negative,75.47
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,1686,0.49,0.41,60.31,Positive,77.55
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,4266,0.74,0.72,91.41,Negative,68.69
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,867,0.72,0.49,30.25,Neutral,70.79
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,3284,0.63,0.47,53.61,Positive,68.01
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,3511,0.53,0.61,56.29,Negative,70.61
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,4040,0.37,0.61,68.48,Neutral,93.2
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,1089,0.14,0.57,47.77,Negative,37.24
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,1560,0.2,0.82,39.63,Negative,86.98
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,3618,0.78,0.83,96.41,Positive,35.59
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,3086,0.87,0.89,36.67,Neutral,49.63
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,3227,0.22,0.77,40.79,Neutral,50.27
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,3191,0.09,0.67,37.54,Negative,81.21
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,4540,0.91,0.93,45.23,Neutral,50.37
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,2207,0.67,0.87,48.92,Neutral,85.03
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,4814,0.28,0.86,44.29,Negative,63.62
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,3620,0.13,0.82,48.46,Negative,51.42
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,1087,0.6,0.85,39.65,Neutral,41.83
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,2325,0.63,0.54,54.99,Positive,57.27
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3356,0.88,0.42,53.43,Positive,69.06
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,2436,0.87,0.76,69.1,Positive,39.79
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,4419,0.49,0.42,98.83,Positive,61.01
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,3314,0.59,0.62,42.07,Positive,57.38
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,4110,0.48,0.71,83.99,Positive,78.93
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,1494,0.88,0.87,61.62,Neutral,69.53
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,4238,0.76,0.8,91.41,Positive,35.13
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,2463,0.56,0.44,35.71,Negative,47.31
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,605,0.63,0.56,97.75,Neutral,35.61
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,4213,0.89,0.9,63.91,Negative,56.44
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,2271,0.45,0.75,42.48,Positive,40.24
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,1041,0.84,0.49,88.77,Neutral,69.74
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,1442,0.61,0.66,46.57,Neutral,39.26
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,4180,0.72,0.63,86.2,Negative,70.57
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,2351,0.94,1.0,89.91,Neutral,45.96
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,2260,0.02,0.68,32.41,Neutral,78.63
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,3707,0.58,0.75,84.14,Negative,45.82
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,1555,0.42,0.97,42.73,Neutral,44.96
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4405,0.66,0.69,50.35,Neutral,75.57
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,2357,0.24,0.74,71.67,Positive,91.63
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,1002,0.39,0.91,90.04,Negative,79.08
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,4621,0.91,0.47,50.91,Positive,23.29
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,1252,0.14,0.87,46.77,Negative,91.15
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,1178,0.64,0.97,49.08,Negative,37.93
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,189,0.32,0.52,31.8,Neutral,68.78
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,3163,0.75,0.74,63.05,Positive,68.09
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,1631,0.51,0.73,71.41,Neutral,84.72
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,2261,0.99,0.96,32.54,Negative,25.8
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,388,0.37,0.58,95.32,Negative,52.97
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,4807,0.26,0.67,49.96,Negative,47.9
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4075,0.78,0.68,87.52,Negative,59.61
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,4953,0.17,0.77,64.09,Positive,70.52
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,4793,0.08,0.55,59.82,Negative,93.32
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,858,0.6,0.43,49.27,Neutral,49.64
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,1055,0.93,0.9,72.64,Neutral,35.49
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,3916,0.29,0.49,35.16,Neutral,60.64
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,4890,0.8,0.86,99.98,Negative,49.93
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,3295,0.6,0.91,58.9,Neutral,49.61
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,3542,0.48,0.59,32.39,Positive,56.53
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,612,0.05,0.42,79.83,Negative,49.43
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,3526,0.83,0.68,52.63,Positive,61.16
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,833,1.0,0.81,33.6,Neutral,52.35
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4805,0.83,0.91,45.95,Negative,62.52
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,1991,0.42,0.5,96.62,Negative,86.75
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,1688,0.67,0.94,40.22,Positive,79.08
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,4098,0.27,0.66,90.49,Negative,78.92
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,613,0.48,0.74,44.49,Negative,74.93
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,3417,0.31,0.67,64.07,Positive,71.93
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4531,0.46,0.98,82.2,Negative,84.83
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,3530,0.16,0.64,54.29,Negative,84.56
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,3037,0.4,0.74,62.15,Positive,50.14
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,1906,0.35,0.75,76.38,Positive,84.51
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,4308,0.54,0.49,74.08,Positive,41.74
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,1988,0.45,0.47,69.34,Negative,34.91
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,4484,0.97,0.41,67.7,Neutral,64.53
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4987,0.19,0.56,66.74,Neutral,73.35
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,102,0.77,0.45,40.01,Neutral,50.18
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,2173,0.3,0.76,85.38,Neutral,97.52
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,589,0.98,0.51,36.02,Negative,20.02
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,4023,0.03,0.83,68.17,Negative,85.72
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,2728,0.04,0.63,89.82,Positive,63.23
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,1333,0.09,0.45,72.76,Positive,71.5
